"rules","support","confidence","coverage","lift","count"
"{LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.517736865738662,0.985470085470086,0.525370453524921,1.78571349092098,1153
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL} => {LDL COLESTEROL (LDL-C) }",0.517736865738662,0.938161106590724,0.551863493488999,1.78571349092098,1153
"{LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.489447687471935,0.931623931623932,0.525370453524921,1.64269714626009,1090
"{COLESTEROL TOTAL} => {LDL COLESTEROL (LDL-C) }",0.489447687471935,0.863024544734759,0.567130669061518,1.64269714626009,1090
"{LDL COLESTEROL (LDL-C) } => {CREATININA - serica o urinaria }",0.451279748540638,0.858974358974359,0.525370453524921,1.3742355585028,1005
"{LDL COLESTEROL (LDL-C) } => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.474629546475079,0.903418803418803,0.525370453524921,1.33151136678602,1057
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL} => {COLESTEROL TOTAL}",0.51549169286035,0.934092758340114,0.551863493488999,1.64705033477707,1148
"{COLESTEROL TOTAL} => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.51549169286035,0.908946951702296,0.567130669061518,1.64705033477707,1148
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL} => {CREATININA - serica o urinaria }",0.475976650202066,0.862489829129373,0.551863493488999,1.37985980565454,1060
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL} => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.499775482712169,0.905614320585842,0.551863493488999,1.3347472481434,1113
"{COLESTEROL TOTAL} => {CREATININA - serica o urinaria }",0.481365065110013,0.848772763262074,0.567130669061518,1.35791447110965,1072
"{COLESTEROL TOTAL} => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.51549169286035,0.908946951702296,0.567130669061518,1.33965907441497,1148
"{CREATININA - serica o urinaria } => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.568477772788505,0.90948275862069,0.625056129321958,1.34044877792738,1266
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA} => {CREATININA - serica o urinaria }",0.568477772788505,0.837855724685639,0.678491243825775,1.34044877792738,1266
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.482712168837,0.93235039028621,0.517736865738662,1.64397808326793,1075
"{COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.482712168837,0.986238532110092,0.489447687471935,1.78710594874628,1075
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,COLESTEROL TOTAL} => {LDL COLESTEROL (LDL-C) }",0.482712168837,0.936411149825784,0.51549169286035,1.78238259030942,1075
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,LDL COLESTEROL (LDL-C) } => {CREATININA - serica o urinaria }",0.444544229905703,0.858629661751951,0.517736865738662,1.37368409247241,990
"{CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.444544229905703,0.985074626865672,0.451279748540638,1.7849969031976,990
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,CREATININA - serica o urinaria } => {LDL COLESTEROL (LDL-C) }",0.444544229905703,0.933962264150943,0.475976650202066,1.77772133526851,990
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,LDL COLESTEROL (LDL-C) } => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.466995958688819,0.901994796183868,0.517736865738662,1.32941258180111,1040
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.466995958688819,0.983916745506149,0.474629546475079,1.78289877318323,1040
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL} => {LDL COLESTEROL (LDL-C) }",0.466995958688819,0.934411500449236,0.499775482712169,1.77857642008585,1040
"{COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {CREATININA - serica o urinaria }",0.419847328244275,0.857798165137615,0.489447687471935,1.37235381735738,935
"{CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.419847328244275,0.930348258706468,0.451279748540638,1.64044780058535,935
"{COLESTEROL TOTAL,CREATININA - serica o urinaria } => {LDL COLESTEROL (LDL-C) }",0.419847328244275,0.872201492537313,0.481365065110013,1.66016472126547,935
